##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
_100_,net26 0.000924 0.000863 0.000061 -0.000061 6.575477 {}
dpath.a_lt_b$in1[1],net86 0.000625 0.000584 0.000041 -0.000041 6.571182 {}
_111_,net45 0.000785 0.000734 0.000051 -0.000051 6.475241 {}
_095_,_105_ 0.001339 0.001253 0.000086 -0.000086 6.428251 {}
clknet_2_3_0_clk,ctrl.state.out[1] 0.000812 0.000864 0.000052 0.000052 6.397208 {}
net45,net79 0.000618 0.000656 0.000038 0.000038 6.230005 {}
_050_,_143_ 0.000437 0.000465 0.000027 0.000027 6.214051 {}
req_msg[18],resp_msg[2] 0.000521 0.000554 0.000032 0.000032 6.163982 {}
_050_,_101_ 0.001462 0.001372 0.000089 -0.000089 6.111955 {}
net36,net6 0.000533 0.000501 0.000032 -0.000032 5.977993 {}
_101_,dpath.a_lt_b$in0[2] 0.001146 0.001078 0.000068 -0.000068 5.963176 {}
dpath.a_lt_b$in1[15],net36 0.000647 0.000609 0.000038 -0.000038 5.881998 {}
dpath.a_lt_b$in0[14],net55 0.000736 0.000693 0.000042 -0.000042 5.713971 {}
_105_,net102 0.001432 0.001351 0.000081 -0.000081 5.651706 {}
_037_,_105_ 0.003233 0.003052 0.000181 -0.000181 5.604354 {}
_125_,net72 0.000687 0.000649 0.000038 -0.000038 5.572480 {}
_172_,net40 0.000739 0.000698 0.000041 -0.000041 5.541557 {}
clknet_2_2_0_clk,net57 0.000511 0.000539 0.000028 0.000028 5.444827 {}
_178_,dpath.a_lt_b$in0[14] 0.000878 0.000830 0.000048 -0.000048 5.435080 {}
_067_,_177_ 0.000859 0.000813 0.000046 -0.000046 5.311163 {}
_071_,_104_ 0.001375 0.001302 0.000072 -0.000072 5.270164 {}
net68,net70 0.000846 0.000890 0.000044 0.000044 5.253067 {}
_101_,net36 0.003862 0.004060 0.000198 0.000198 5.117895 {}
_153_,net79 0.001016 0.000965 0.000051 -0.000051 5.004232 {}
_101_,_112_ 0.000653 0.000620 0.000033 -0.000033 4.991347 {}
