##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
_112_,dpath.a_lt_b$in1[8] 0.000706 0.000437 0.000269 -0.000269 38.072232 {}
_042_,_058_ 0.000647 0.000403 0.000243 -0.000243 37.603000 {}
_137_,dpath.a_lt_b$in0[9] 0.000735 0.000465 0.000270 -0.000270 36.735288 {}
_101_,_112_ 0.000653 0.000414 0.000239 -0.000239 36.609677 {}
_050_,_101_ 0.001462 0.000936 0.000526 -0.000526 35.996470 {}
_065_,_101_ 0.000935 0.000600 0.000335 -0.000335 35.841259 {}
dpath.a_lt_b$in0[0],dpath.a_lt_b$in1[0] 0.001005 0.000652 0.000353 -0.000353 35.162349 {}
req_msg[31],resp_msg[15] 0.000639 0.000418 0.000221 -0.000221 34.586711 {}
_101_,net55 0.001180 0.000772 0.000408 -0.000408 34.583902 {}
_101_,clknet_2_0_0_clk 0.000484 0.000317 0.000167 -0.000167 34.443856 {}
_046_,dpath.a_lt_b$in0[5] 0.001595 0.001055 0.000540 -0.000540 33.857358 {}
clknet_2_2_0_clk,ctrl.state.out[2] 0.000476 0.000316 0.000160 -0.000160 33.526680 {}
_101_,net36 0.003862 0.002568 0.001294 -0.001294 33.507057 {}
clknet_2_2_0_clk,net57 0.000511 0.000340 0.000171 -0.000171 33.475213 {}
net45,net79 0.000618 0.000415 0.000202 -0.000202 32.740781 {}
clknet_2_1_0_clk,net82 0.000416 0.000289 0.000127 -0.000127 30.584729 {}
_112_,dpath.a_lt_b$in1[11] 0.001965 0.001374 0.000591 -0.000591 30.070378 {}
net68,net97 0.001424 0.000996 0.000428 -0.000428 30.054986 {}
dpath.a_lt_b$in0[6],net36 0.000450 0.000319 0.000131 -0.000131 29.044905 {}
_105_,dpath.a_lt_b$in0[10] 0.000916 0.000650 0.000265 -0.000265 28.982940 {}
net36,net79 0.001214 0.000863 0.000351 -0.000351 28.914898 {}
dpath.a_lt_b$in0[12],dpath.a_lt_b$in1[12] 0.000761 0.000544 0.000217 -0.000217 28.469291 {}
